sentences ,labels
Hn bilkul eco friendly aman ne apna hatho se bnaya h,appreciate
Yrr lekin dono alg profile h na Isme issue kya h,nothing
haan ignore mt kro,sure
haha kya chl rha group me,fun
haan bhai bharta hu ok,ok
ko koi call kiya questionmark,yes
Ye bhi add kar doo,sure
Kardo koi b send,me
kardo koi b send,not me
Clg kon kon jara h questionmark ,me
Clg kon kon jara h questionmark ,not me
Sahi he nanak jayanti pe kisano ko rahat dedi,correct
Farm laws ko withdraw kardiye announcement hua hai abhi,surprised
Farm laws ko withdraw kardiye announcement hua hai abhi,happy
Pdh lo nhi toh kam peso ki naukri lgegi,fear
Pdh lo nhi toh kam peso ki naukri lgegi,haha
Daaru pine vala jhut nahi bolta,haha
Daaru pine vala jhut nahi bolta,truee
Aisa a raha hai kya questionmark,yes
Aisa a raha hai kya questionmark,no
Mobile invigilation bnd ho ja rha h kya,yes
Mobile invigilation bnd ho ja rha h kya,no
link kaha h,donot know
link kaha h,here
bhejna,ok
Daal de bhai,ok
Daal de bhai,no
Wo log bhi check kar sakte hain. Pata chal jaega,haha
Mess khuli rhegi December me,ok
Koi likh rha hai mail th batao? Wrna likhna hga ek mail.,me
Koi likh rha hai mail th batao? Wrna likhna hga ek mail.,not me
Jo tab switch kiye unko bhi sortlist ka issue aaya hai,shocked 
Kitte londe pahuche hostel ,me
Sbi bhi aa gayi,yes
stifend aa gaya ,very happy
Isbar stipend nahi ayega kya,donot know
Isme hostel include ni kiya,donot know
Kon kon aa rhe h ,me
Kon kon aa rhe h ,not me
Aur kisi ka chala test questionmark,me
Incognito mein try kr bhai,sure
Incognito mein try kr bhai,no use
Dukh. Dard. Peeda @MANoj Verma haha,haha
Lakda flustered ho gaya hai apna job life se haha haha,haha
happy birthday ,thankyou
Aaj chutti h questionmark,yes
Aaj chutti h questionmark,no
"Kisiko enthu ho to DM
",me
Abhi free hai kya koi questionmark,me
May aur June mai kya karna hai woh decide karna padega naa,correct
"Ye sab log bhrdo ,  NBA ACCREDITATION k liye chahiye Eee department k",ok
Amar bhi aaya tha kya ,yes
Kya jump maara tum logo ne,yes
Sale dekh tere wajha se log chodke jare,shocked
Aage bhi bhej dena ye form..if possible ,ok
Tech sec bhi hota kya?,yes
Tech sec bhi hota kya?,no
Mai hamesha sahi readings  likhata tha ,yes
Haa woh toh cancel hi rai max time  aur nai toh gappe maarkar nikal lo,ok
Sabse best lab thi Microcontroller ki,yes
Journal se zyada wo dedicated copy check karta tha,yes
70-80 percent place hone tak ham screw karna hai,sad
assignment yaha daloo,sure
Mazza nhi aaya,why
Mazza nhi aaya,sad
yeh acchi baat nhi hai ,sad